Rank,Module,Score,Pct,Gaps
1,action,10/10,100%,none
2,admin,10/10,100%,none
3,agrc-engine,10/10,100%,none
4,ai,10/10,100%,none
5,ai-governance,10/10,100%,none
6,analytics,10/10,100%,none
7,asset,10/10,100%,none
8,audit,10/10,100%,none
9,bcp,10/10,100%,none
10,bootstrap,10/10,100%,none
11,compliance,10/10,100%,none
12,controls,10/10,100%,none
13,dashboard,10/10,100%,none
14,dora,10/10,100%,none
15,evidence,10/10,100%,none
16,exception,10/10,100%,none
17,foundation,10/10,100%,none
18,governance,10/10,100%,none
19,governance-ai,10/10,100%,none
20,governance-os,10/10,100%,none
21,inbox,10/10,100%,none
22,incident,10/10,100%,none
23,integrations,10/10,100%,none
24,issues,10/10,100%,none
25,journey,10/10,100%,none
26,ksa-regulatory,10/10,100%,none
27,local-knowledge,10/10,100%,none
28,navigation,10/10,100%,none
29,notification,10/10,100%,none
30,onboarding,10/10,100%,none
31,packs,10/10,100%,none
32,policy,10/10,100%,none
33,portals,10/10,100%,none
34,privacy,10/10,100%,none
35,proactive-leadership,10/10,100%,none
36,provisioning,10/10,100%,none
37,qiyas,10/10,100%,none
38,quality-gate,10/10,100%,none
39,records,10/10,100%,none
40,remediation,10/10,100%,none
41,reporting,10/10,100%,none
42,risk,10/10,100%,none
43,team,10/10,100%,none
44,training,10/10,100%,none
45,vendor,10/10,100%,none
46,widgets,10/10,100%,none
47,workflow,10/10,100%,none
